,AMERICAS,IBOXIG_Index#@#PX_LAST,LD01TRUU_Index#@#PX_LAST,LHVLTRUU_Index#@#PX_LAST,IBOXHY_Index#@#PX_LAST,JPEICORE_Index#@#PX_LAST,SPTR_Index#@#PX_LAST,SPE35CUN_Index#@#PX_LAST,MIMUEURN_Index#@#PX_LAST,NDDUJN_Index#@#PX_LAST,M1CXCAS_Index#@#PX_LAST,NDUECAXJ_Index#@#PX_LAST,MXAP_Index#@#PX_LAST,MIMUTURN_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,M1CXBLRL_Index#@#PX_LAST,IBOV_Index#@#PX_LAST,SPBLPGPT_Index#@#PX_LAST,IPSA_Index#@#PX_LAST,LC07TRUU_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,PRTIPMEX_Index#@#PX_LAST,M00IMV$T_Index#@#PX_LAST,RU10VATR_Index#@#PX_LAST,M2USSNQ_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,RU10GRTR_Index#@#PX_LAST,DVGTR_Index#@#PX_LAST,PIPGUBER_Index#@#PX_LAST,PIPGCETE_Index#@#PX_LAST,PIPGFIX5_Index#@#PX_LAST,PIPGREA1_Index#@#PX_LAST,PIPGREA5_Index#@#PX_LAST,PIPGFX6M_Index#@#PX_LAST,LUACTRUU_Index#@#PX_LAST,LUATTRUU_Index#@#PX_LAST,LF98TRUU_Index#@#PX_LAST,SPX_Index#@#PX_LAST,MXEU_Index#@#PX_LAST,MXJP_Index#@#PX_LAST,MXEF_Index#@#PX_LAST,SBMT_Index#@#PX_LAST,NDUEEGFL_Index#@#PX_LAST,MN40MUE_Index#@#PX_LAST,RAG_Index#@#PX_LAST,MXEU000G_Index#@#PX_LAST,TPX_Index#@#PX_LAST,XAU_Curncy#@#PX_LAST,BCOMTR_Index#@#PX_LAST,DJUSRET_Index#@#PX_LAST,LPXDITU_Index#@#PX_LAST,CO1_Comdty#@#PX_LAST,CL1_Comdty#@#PX_LAST,IEV_US_EQUITY#@#PX_LAST,EWJ_US_EQUITY#@#PX_LAST,EWC_US_Equity#@#PX_LAST,EWW_US_Equity#@#PX_LAST,EWZ_US_EQUITY#@#PX_LAST,IWD_US_Equity#@#PX_LAST,IWF_US_Equity#@#PX_LAST,IYR_US_Equity#@#PX_LAST,MXN_Curncy#@#PX_LAST,BRL_Curncy#@#PX_LAST,COP_Curncy#@#PX_LAST,PEN_Curncy#@#PX_LAST,CLP_Curncy#@#PX_LAST,EUR_Curncy#@#PX_LAST,JPY_Curncy#@#PX_LAST,CHN_Curncy#@#PX_LAST,UYU_Curncy#@#PX_LAST,BFCIUS_Index#@#PX_LAST,BIGPIGP1_Index#@#PX_LAST,CFNAI_Index#@#PX_LAST,CGNOXAI%_Index#@#PX_LAST,CHPMINDX_Index#@#PX_LAST,CICRTOT_Index#@#PX_LAST,CNCPIYOY_Index#@#PX_LAST,CNFRBAL$_Index#@#PX_LAST,COMFCOMF_Index#@#PX_LAST,CONSCURR_Index#@#PX_LAST,CONSEXP_Index#@#PX_LAST,CONSPXMD_Index#@#PX_LAST,CONSSENT_Index#@#PX_LAST,CPI_XYOY_Index#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,CPTICHNG_Index#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,CPURNSA_Index#@#PX_LAST,CSI_BARC_Index#@#PX_LAST,DGNOXTCH_Index#@#PX_LAST,DXY_CURNCY#@#PX_LAST,ECMAM3YY_Index#@#PX_LAST,EUBCI_Index#@#PX_LAST,EUCCEMU_Index#@#PX_LAST,EUESEMU_Index#@#PX_LAST,EUICEMU_Index#@#PX_LAST,EUPPEMUY_Index#@#PX_LAST,EUR_CURNCY#@#PX_LAST,EURUSD_BGN_Curncy#@#PX_LAST,EUSCEMU_Index#@#PX_LAST,FDDSSD_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,FDTRFTRL_Index#@#PX_LAST,FRNTTNET_Index#@#PX_LAST,FRNTTOTL_Index#@#PX_LAST,GJGB10_Index#@#PX_LAST,GJGB5_Index#@#PX_LAST,GT10_GOVT#@#PX_LAST,GT2_GOVT#@#PX_LAST,GT5_GOVT#@#PX_LAST,HG1_COMDTY#@#PX_LAST,IMP1YOY%_Index#@#PX_LAST,INJCJC_Index#@#PX_LAST,INJCSP_Index#@#PX_LAST,IPMGCHNG_Index#@#PX_LAST,JBTARATE_Index#@#PX_LAST,JCPNEFEY_Index#@#PX_LAST,JCPNEFFE_Index#@#PX_LAST,JCPTEFEY_Index#@#PX_LAST,JNC_SALE_Index#@#PX_LAST,JNCAPMOM_Index#@#PX_LAST,JNCICCOI_Index#@#PX_LAST,JNCICLEI_Index#@#PX_LAST,JNCPIXFF_Index#@#PX_LAST,JNCPIYOY_Index#@#PX_LAST,JNCPT_Index#@#PX_LAST,JNCPTXFF_Index#@#PX_LAST,JNHSAN_Index#@#PX_LAST,JNHSYOY_Index#@#PX_LAST,JNIPMOM_Index#@#PX_LAST,JNIPYOY_Index#@#PX_LAST,JNMBYOY_Index#@#PX_LAST,JNMOCHNG_Index#@#PX_LAST,JNMOYOY_Index#@#PX_LAST,JNMTOY_Index#@#PX_LAST,JNNETYOY_Index#@#PX_LAST,JNPIY_Index#@#PX_LAST,JNRSYOY_Index#@#PX_LAST,JNTBAL_Index#@#PX_LAST,JNTBEXPY_Index#@#PX_LAST,JNTBIMPY_Index#@#PX_LAST,JNTIAMOM_Index#@#PX_LAST,JNUE_Index#@#PX_LAST,JNVHPYOY_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,JNWSDYOY_Index#@#PX_LAST,JPY_CURNCY#@#PX_LAST,MBAVCHNG_Index#@#PX_LAST,MTIBCHNG_Index#@#PX_LAST,MXCPYOY_Index#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,NAPMPMI_Index#@#PX_LAST,NAPMPRIC_Index#@#PX_LAST,NFP_PCH_Index#@#PX_LAST,NFP_TCH_Index#@#PX_LAST,NHCHATCH_Index#@#PX_LAST,NHCHSTCH_Index#@#PX_LAST,NHSLCHNG_Index#@#PX_LAST,NHSLTOT_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,PCE_CMOM_Index#@#PX_LAST,PCE_CYOY_Index#@#PX_LAST,PRUSTOT_Index#@#PX_LAST,S_1_Comdty#@#PX_LAST,SAARDTOT_Index#@#PX_LAST,SAARTOTL_Index#@#PX_LAST,SPCSUSAY_Index#@#PX_LAST,TMNOCHNG_Index#@#PX_LAST,USGG10YR_INDEX#@#PX_LAST,USGG30YR_INDEX#@#PX_LAST,USHBMIDX_Index#@#PX_LAST,USMMMNCH_Index#@#PX_LAST,USURTOT_Index#@#PX_LAST,VIX_INDEX#@#PX_LAST,W_1_Comdty#@#PX_LAST,COCPIYOY_Index#@#PX_LAST,COPIIYOY_Index#@#PX_LAST,EHCACO_Index#@#PX_LAST,EHBBCO_Index#@#PX_LAST,CORRRMIN_Index#@#PX_LAST,COUNUNER_Index#@#PX_LAST,CLGDQSA_Index#@#PX_LAST,CNPINSYO_Index#@#PX_LAST,CHUETOTL_Index#@#PX_LAST,EHCACL_Index#@#PX_LAST,CHOVCHOV_Index#@#PX_LAST,PRGQTOTL_Index#@#PX_LAST,PRCPI_Index#@#PX_LAST,PRCPYOY_Index#@#PX_LAST,PRCPMOM_Index#@#PX_LAST,EHCAPE_Index#@#PX_LAST,293.064_Index#@#PX_LAST,MXGCTOT_Index#@#PX_LAST,MXGPQTR_Index#@#PX_LAST,IGAEMOM_Index#@#PX_LAST,MXCPCHNG_Index#@#PX_LAST,MXCCYOY_Index#@#PX_LAST,MXCCCHNG_Index#@#PX_LAST,MXIPTYOY_Index#@#PX_LAST,MXPSTMOM_Index#@#PX_LAST,OEMXKLAR_Index#@#PX_LAST,MXCACUAC_Index#@#PX_LAST
2001Q1,0.07938875938875943,109.323,868.29,160.09,110.814,124.812,1619.54,1143.84,445.228,3441.57,1511.67,95.302,82.34,196.107,94.497,200.73,14438.5,1271.92,1062.44,242.87,87.5162,2168.12,3.92,988.466,465.835,1092.01,481.08,391.104,940.6,101.547,101.583,102.611,101.107,100.339,101.659,1137.25,1113.58,550.0,1160.33,115.23,810.7,313.14,834.534,97.793,133.73,406.842,100.01,1277.27,257.95,172.15099999999995,240.71,150.03,24.74,26.29,32.24,40.96,10.85,13.99,14.98,56.1,50.74,37.47,9.4615,2.1525,2312.0,3.523,595.75,0.8767,126.34,10.75,12.8,-1.521,0.27,-1.09,-4.2,35.4,11.84,0.8,2.366,52.0,103.4,83.9,2.8,91.5,2.7,2.9,77.9252,184.7,0.2,176.2,7.62,-4.4,117.37,3.8,0.64,-0.2,109.5,-1.4,3.9,0.8767,0.8767,19.2,-50.662,5.0,5.0,-42.252,47.543,1.278,0.5429999999999999,4.917,4.18,4.557,76.4,-1.6,388.0,2620.0,-0.2,0.63,-1.1,-1.1,-1.8,19.1,-1.04,104.3,94.5,-0.9,-0.7,-1.3,-1.5,1.208,-1.4,-1.7,-1.7,1.2,0.5,1.7,1.4,1.7,-2.3,-2.9,907.989,4.7,11.6,-0.2,4.8,-5.8,1.6,-1.9,126.34,-1.4,-0.5,7.17,39.9,43.1,49.9,-66.0,-27.0,0.2,-2.2,-2.5,939.0,100.0,0.1,1.7718,67.2,428.5,14.05,16.92,8.8,-0.5,4.917,5.444,60.0,-90.0,4.3,28.64,255.0,7.81,10.929,0.28,-4.71,11.5,29.71,0.86,3.5,9.5,-2.31,4.0,-4.1,82.4,3.58,0.51,-3.4,8226.7,0.56,0.13,0.06,0.63,6.84,0.6,-1.18,0.22,72.7287,-4771.0
2001Q2,-0.10373555495834463,110.222,882.16,149.41,105.309,130.406,1714.32,1141.65,435.631,3448.19,1585.89,92.967,82.74,227.06,98.209,241.85,14559.8,1347.0,1169.2,244.22,89.8821,2225.29,3.52,1021.57,488.576,1152.68,499.15,424.032,966.76,106.575,106.334,113.915,105.555,108.696,107.471,1149.31,1109.09,537.42,1224.42,116.98,808.09,322.89,841.7639999999999,106.008,146.2,443.557,100.77,1300.98,270.85,167.513,268.21,160.17,26.08,26.25,31.6,40.92,11.5,16.85,14.38,58.62,55.8,41.165,9.041,2.3105,2297.25,3.5075,631.8,0.8490000000000001,124.65,13.27,13.64,-0.08199999999999999,0.09,-1.54,-2.1,41.6,11.191,1.4,0.8290000000000001,52.0,101.6,86.9,3.0,92.6,2.7,3.2,76.1299,186.0,0.4,178.0,7.3,-0.8,119.47,5.5,0.11,-3.1,105.4,-6.6,3.2,0.8490000000000001,0.8490000000000001,18.8,31.862,3.75,3.75,2.532,33.431,1.194,0.365,5.412000000000001,4.242,4.95,70.45,-2.6,394.0,2959.0,-0.7,0.61,-0.9,-1.0,-1.3,-3.3,-1.28,101.3,92.2,-0.9,-0.8,-1.1,-1.1,1.116,-10.5,-1.2,-7.8,7.6,-5.4,-11.7,-22.1,-2.1,-3.0,-1.9,758.995,-7.8,2.6,0.4,5.0,-7.8,-2.4,-2.1,124.65,0.8,-0.8,6.57,35.7,43.2,42.8,-238.0,-130.0,-2.3,1.9,-0.3,882.0,226.0,0.23,1.99139,66.7,482.5,14.1,17.15,8.02,-1.7,5.412000000000001,5.759,59.0,-146.0,4.5,19.06,246.75,7.93,10.105,-0.11,-4.74,11.5,28.4,0.86,3.6,10.4,-1.84,3.5,-1.1,82.03,2.51,-0.06,-2.97,8437.7,-0.21,-0.61,0.46,0.24,6.7,0.32,-2.53,0.78,73.2064,-3587.1
2001Q3,-0.046787320625401474,115.615,911.59,142.53,99.8292,126.957,1462.69,996.401,378.219,2820.74,1353.14,74.163,67.14,125.765,76.934,192.22,10635.7,1217.95,1071.28,253.95,76.6253,1905.41,2.97,944.683,435.07,1015.14,453.77,341.723,936.39,108.444,108.758,113.118,108.132,109.871,109.89,1191.78,1170.1,514.68,1040.94,95.24,629.46,251.4,877.988,81.117,101.29,354.05800000000005,80.92,1023.42,293.25,158.178,257.32,134.61,23.26,23.43,27.175,33.6,9.65,12.35,9.2,52.05,44.5,39.63,9.514,2.67,2334.6,3.4805,693.22,0.9114,119.56,10.66,13.65,-1.481,0.11,-1.55,-6.3,47.0,7.893,-0.1,2.139,50.0,94.6,73.5,2.8,81.8,2.6,2.6,74.7595,187.1,0.2,178.3,9.18,-3.0,113.41,6.8,-0.63,-9.0,97.8,-13.7,1.0,0.9114,0.9114,9.2,35.501,3.0,3.0,-3.123,18.000999999999994,1.415,0.509,4.588,2.8510000000000004,3.804,65.2,-5.6,517.0,3385.0,-0.2,0.57,-0.8,-0.8,-1.5,10.5,-2.34,96.1,87.4,-0.8,-0.8,-1.2,-1.2,1.18,-2.9,-2.0,-11.4,14.2,-8.5,-12.2,-33.2,-2.1,-2.8,-0.8,1043.02,-11.0,-7.9,-0.2,5.3,-1.8,-4.1,-2.5,119.56,20.5,-0.5,6.14,41.5,46.2,36.6,-265.0,-241.0,-3.1,-0.3,-1.5,853.0,60.0,-0.56,1.15021,66.8,451.25,13.19,16.09,7.77,-3.1,4.588,5.421,55.0,-115.0,5.0,31.93,270.75,7.97,8.019,-0.51,-4.67,9.5,29.91,-0.41,3.9,10.9,-2.3,6.5,1.7,81.97,0.87,0.06,-3.07,8681.3,-1.16,0.03,-0.13,0.93,6.4,0.76,-2.94,0.23,74.0561,-3341.8
2001Q4,-0.16059812832121878,116.776,918.62,151.56,105.459,131.547,1618.98,1092.39,417.378,2653.44,1502.0,95.975,69.99,252.049,97.385,229.06,13577.6,1176.45,1183.12,254.49,83.791,2069.1,2.1,999.987,467.151,1126.35,489.09,393.461,987.57,112.587,112.269,126.817,112.301,116.68,114.523,1202.03,1161.32,544.42,1148.08,107.1,651.39,317.4,878.565,99.365,149.25,409.354,92.63,1032.14,278.95,148.843,269.57,152.28,19.9,19.84,29.545,30.84,10.62,15.18,12.7,55.4,50.94,39.9,9.1575,2.3105,2277.5,3.4435,661.25,0.8895,131.66,12.42,14.43,-0.758,0.16,-0.56,-0.1,42.8,10.01,-0.3,2.112,44.0,99.0,82.3,1.8,88.8,2.7,1.6,73.6373,188.4,0.2,176.7,7.41,1.0,116.75,8.0,-0.83,-11.2,92.3,-14.2,-0.5,0.8895,0.8895,-8.1,26.567,1.75,1.75,-12.338,34.489000000000004,1.368,0.5479999999999999,5.051,3.026,4.302,65.9,-9.1,421.0,3474.0,0.3,0.51,-0.8,-0.9,-1.1,-2.7,0.0,94.0,86.7,-0.9,-1.2,-1.5,-1.0,1.148,-12.9,1.1,-14.7,16.9,-0.1,-11.4,-43.3,-5.2,-2.7,-2.6,659.442,-14.5,-13.4,0.0,5.4,-9.5,-7.6,-2.8,131.66,-17.9,-0.7,4.4,39.1,45.3,33.2,-201.0,-172.0,1.8,-2.1,6.0,979.0,129.0,0.02,1.72429,66.7,421.0,12.93,16.2,6.68,0.6,5.051,5.466,55.0,-114.0,5.7,23.8,289.0,7.65,6.919,-1.06,-4.95,8.5,30.92,1.07,2.6,8.6,-1.62,6.5,4.8,81.53,-0.13,-0.09,-2.33,8671.9,-0.78,-0.48,-0.13,0.14,5.36,0.24,0.51,-0.46,74.9041,-5769.8
2002Q1,0.1685448899834039,114.695,920.18,147.62,107.135,139.498,1623.43,1088.21,419.458,2693.31,1527.56,107.223,72.87,242.902,108.425,268.66,13254.5,1299.76,1163.6,255.28,84.4773,2076.16,1.68,1036.15,486.261,1134.96,518.0,383.284,1014.94,115.911,114.878,133.925,115.852,122.927,117.515,1197.56,1151.29,553.57,1147.39,108.69,666.01,351.43,887.82,107.418,164.23,398.219,93.53,1060.19,302.65,167.18200000000004,291.65,157.95,25.92,26.31,29.5,32.56,11.06,17.85,13.23,57.77,49.67,42.6,9.035,2.325,2273.0,3.4435,656.5,0.8717,132.73,14.13,15.4,-0.36,0.17,-0.13,-4.8,55.9,12.785,-0.8,1.334,50.0,100.4,92.7,2.7,95.7,2.4,1.5,74.3386,189.2,0.1,178.8,6.39,-0.4,118.62,7.3,-0.65,-8.4,97.7,-10.6,-0.5,0.8717,0.8717,2.9,-64.238,1.75,1.75,81.93,85.301,1.395,0.515,5.396,3.711,4.805,76.35,-5.6,479.0,3723.0,0.8,0.52,-0.7,-0.6,-1.0,0.0,-0.51,95.7,91.0,-0.7,-1.2,-1.2,-0.7,1.138,-6.2,0.8,-8.8,32.6,-4.4,-20.0,-28.8,-4.9,-2.5,-1.4,1257.86,-3.0,-12.4,0.4,5.3,-0.6,-8.7,-2.5,132.73,-1.9,-0.3,4.66,46.6,52.4,51.9,-62.0,-21.0,-5.4,-10.2,-2.6,923.0,191.0,0.12,1.47848,66.6,476.25,13.49,16.81,6.82,-0.2,5.396,5.795,62.0,-72.0,5.7,17.4,285.0,5.89,3.56,-0.81,-4.53,7.25,31.61,0.73,2.6,9.6,-0.96,4.75,3.9,81.51,-1.08,0.54,-1.88,8628.2,-2.97,-0.6,0.7,0.51,4.85,0.41,-5.24,0.74,75.5581,-3506.1
2002Q2,0.05599651811382556,115.285,941.53,128.9,96.9707,134.369,1405.94,1045.95,404.112,2869.98,1460.09,100.56,74.27,166.205,99.272,218.31,11139.2,1134.93,1031.96,263.06,76.8091,1886.69,1.58,944.895,444.841,980.3,492.89,311.712,916.23,117.646,116.455,135.382,118.187,124.976,118.955,1229.84,1203.29,518.06,989.81,90.85,641.69,319.75,918.369,84.63799999999998,130.03,323.996,78.09,1024.89,314.45,167.805,304.95,157.59,25.58,26.86,28.25,33.72,10.62,14.59,9.7,52.2,40.2,43.6,9.9465,2.8175,2404.25,3.5085,686.15,0.9915,119.47,13.77,18.7275,-0.956,0.68,0.4,-3.8,57.1,12.567,-0.8,2.919,47.0,99.5,87.9,2.7,92.4,2.3,1.1,75.4694,190.2,0.1,179.9,7.64,-2.4,106.11,7.1,-0.47,-7.9,98.2,-9.1,-0.9,0.9915,0.9915,2.0,29.071,1.75,1.75,89.665,52.024,1.32,0.414,4.799,2.815,4.034,76.75,-3.6,386.0,3588.0,1.1,0.53,-0.8,-0.7,-1.0,-4.8,-0.88,98.5,94.1,-0.8,-0.7,-0.9,-1.0,1.126,0.3,-1.1,-2.4,27.6,6.7,-8.0,-17.1,-3.1,-1.9,-0.5,1220.93,7.0,-5.0,-0.8,5.5,-1.5,-8.9,-2.1,119.47,0.4,0.2,4.94,48.3,53.6,65.5,21.0,56.0,2.4,-2.7,-2.1,957.0,164.0,0.15,1.63034,66.6,536.5,13.14,16.64,8.0,-1.5,4.7965,5.5076,61.0,-39.0,5.8,25.4,307.0,6.25,2.948,-0.86,-5.32,5.25,33.4,0.85,2.0,10.3,-0.7,4.0,6.1,82.03,0.0,-0.23,-1.83,8946.4,1.12,0.85,-0.21,0.49,4.34,0.13,-0.67,-0.24,75.36,-2611.1
2002Q3,-0.32987700383956264,121.02,963.87,123.41,89.7271,134.725,1163.04,801.822,313.725,2524.17,1205.81,84.514,64.54,142.69799999999995,83.038,185.6,8622.54,1150.07,927.39,274.05,62.7502,1539.93,1.51,806.94,361.334,811.98,438.52,264.809,789.7,119.863,118.82,135.839,121.359,127.169,121.765,1281.86,1292.36,502.87,815.28,69.71,571.48,266.11,943.713,63.927,120.47,273.084,61.31,921.05,323.55,180.005,277.6,119.84,28.75,30.45,22.05,29.32,8.6,12.29,5.79,42.32,34.28,39.075,10.2065,3.7395,2870.0,3.6313,749.25,0.9866,121.81,11.77,27.0,-2.547,1.13,-0.42,-5.7,51.5,3.151,-0.7,2.117,42.0,95.8,79.9,2.5,86.1,2.2,1.5,75.3321,191.3,0.1,181.0,10.01,-0.2,106.87,7.2,-0.51,-9.8,97.0,-8.9,0.1,0.9866,0.9866,-2.8,42.38800000000001,1.75,1.75,46.459,41.967,1.186,0.344,3.596,1.6869999999999998,2.562,66.6,-0.4,409.0,3555.0,0.1,0.55,-0.8,-0.7,-0.9,-15.2,0.97,100.9,93.6,-0.9,-0.7,-0.8,-0.9,1.121,-5.1,0.7,5.2,21.4,10.5,-1.8,-1.8,-2.3,-1.9,-0.5,1051.04,6.9,8.9,-0.7,5.4,11.0,4.5,-2.0,121.81,8.6,0.7,4.95,45.8,50.5,62.5,-17.0,-60.0,6.4,10.5,3.0,1044.0,71.0,0.16,2.41806,66.7,545.75,13.08,16.32,8.68,-2.1,3.5942,4.6682,63.0,-52.0,5.7,39.69,396.5,5.97,6.757999999999999,-1.17,-5.59,5.25,34.72,1.0,2.3,10.6,-1.02,3.0,5.3,82.53,0.68,0.47,-1.82,9597.5,0.25,0.68,-0.18,0.6,4.22,0.66,-0.63,-0.18,75.7154,-2929.8
2002Q4,0.014388838534248329,124.99,982.42,136.42,96.1386,149.912,1261.18,893.937,347.2519999999999,2380.63,1303.96,87.82799999999997,63.14,166.097,91.375,198.56,11268.5,1391.97,1000.0,279.52,67.6052,1657.64,1.34,846.914,394.634,887.2,429.68,283.748,828.83,123.741,121.689,145.031,126.104,135.94899999999998,125.219,1323.64,1298.28,536.76,879.82,72.6,525.17,292.09,956.374,77.00399999999998,130.8,291.838,62.76,843.29,348.05,187.401,279.36,135.41,28.66,31.2,23.74,27.8,9.44,12.45,7.98,45.86,36.36,38.65,10.37,3.54,2867.0,3.5145,720.25,1.0492,118.79,13.75,27.4,-1.705,2.61,-1.0,-1.8,53.3,6.933,-0.4,3.157,39.0,96.0,80.8,2.5,86.7,1.9,2.4,75.1658,192.1,0.1,180.9,8.26,-0.9,101.85,7.0,-0.32,-17.4,92.3,-10.0,1.5,1.0492,1.0492,-6.0,4.7189999999999985,1.25,1.25,62.662,38.041,0.909,0.303,3.816,1.602,2.736,70.25,4.2,409.0,3462.0,-0.5,0.57,-0.6,-0.5,-0.8,-9.3,0.19,101.0,93.3,-0.7,-0.3,-0.3,-0.7,1.109,-3.4,-0.1,6.9,19.5,0.8,-4.4,30.2,-2.2,-1.9,-4.2,794.25,15.3,14.3,-1.0,5.4,12.9,1.4,-1.3,118.79,4.7,0.6,5.7,47.5,51.6,56.9,-165.0,-158.0,7.1,2.0,2.3,1048.0,48.0,0.08,1.7276599999999998,66.3,569.5,14.47,17.62,9.56,-1.8,3.816,4.7780000000000005,63.0,-80.0,6.0,28.62,325.0,6.99,9.286,-1.37,-4.54,5.25,32.3,1.53,2.8,8.7,-0.96,3.0,4.8,82.76,1.52,-0.03,-2.01,9339.0,1.42,0.31,0.47,0.44,4.12,0.21,0.29,0.14,76.452,-4268.6
